County,Year,MonthNo,Value
Calaveras,2017,3,8.403226
Calaveras,2017,4,8.953333
Calaveras,2017,5,13.219355
Calaveras,2017,6,0.970000
Calaveras,2017,7,8.612903
Calaveras,2017,8,14.658065
Calaveras,2017,9,15.676667
Calaveras,2017,10,15.258065
Calaveras,2017,11,12.053333
Calaveras,2017,12,15.983871
Calaveras,2018,1,13.632258
Calaveras,2018,2,13.653571
Calaveras,2018,3,9.383871
Calaveras,2018,4,10.296667
Calaveras,2018,5,11.448387
Calaveras,2018,6,12.246667
Calaveras,2018,7,17.561290
Calaveras,2018,8,30.493548
Calaveras,2018,9,12.936667
Calaveras,2018,10,7.609677
Calaveras,2018,11,16.546667
Calaveras,2018,12,16.661290
Calaveras,2019,1,6.067742
Calaveras,2019,2,4.125000
Calaveras,2019,3,4.551613
Calaveras,2019,4,4.520000
Calaveras,2019,5,4.967742
Calaveras,2019,6,5.180000
Calaveras,2019,7,5.619355
Calaveras,2019,8,5.612903
Calaveras,2019,9,3.663333
Calaveras,2019,10,5.080645
Calaveras,2019,11,3.710000
Calaveras,2019,12,0.000000
Colusa,2014,1,13.309677
Colusa,2014,2,6.085714
Colusa,2014,3,4.529032
Colusa,2014,4,9.050000
Colusa,2014,5,9.016129
Colusa,2014,6,6.283333
Colusa,2014,7,8.767742
Colusa,2014,8,13.051613
Colusa,2014,9,13.170000
Colusa,2014,10,11.416129
Colusa,2014,11,11.546667
Colusa,2014,12,10.312903
Colusa,2015,1,17.877419
Colusa,2015,2,12.439286
Colusa,2015,3,9.261290
Colusa,2015,4,8.013333
Colusa,2015,5,11.164516
Colusa,2015,6,12.476667
Colusa,2015,7,9.422581
Colusa,2015,8,14.025806
Colusa,2015,9,8.720000
Colusa,2015,10,8.832258
Colusa,2015,11,7.470000
Colusa,2015,12,9.558065
Colusa,2016,1,7.541935
Colusa,2016,2,7.744828
Colusa,2016,3,4.964516
Colusa,2016,4,6.236667
Colusa,2016,5,8.309677
Colusa,2016,6,8.166667
Colusa,2016,7,9.067742
Colusa,2016,8,10.906452
Colusa,2016,9,9.826667
Colusa,2016,10,6.393548
Colusa,2016,11,7.350000
Colusa,2016,12,7.709677
Colusa,2017,1,5.087097
Colusa,2017,2,3.446429
Colusa,2017,3,3.735484
Colusa,2017,4,3.170000
Colusa,2017,5,5.738710
Colusa,2017,6,6.016667
Colusa,2017,7,6.929032
